"-- Please select --","-- Por favor, selecione --"
"Strikeiron Email Update Warnings","Alerta de atualização de e-mail strikeiron"
"WARNING:","ALERTA:"
"Currency Update Warnings","Alertas de atualização de moeda"
"Region Api","API da região"
"Country Api","API do país"
"Invalid country code: %s","Código de país inválido: %s"
"Country and Format Type combination should be unique","Combinação de país e tipo de formato deve ser única"
"Currency Setup","Configuração de moeda"
"Scheduled Import Settings","Configurações de importações programadas"
"Continue &raquo;","Continuar &raquo;"
"Error Email Recipient","Destinatário de e-mail de erro"
"Directory","Diretório"
"FATAL ERROR:","ERRO FATAL:"
"State/Province","Estado"
"Frequency","Freqüência"
"Enabled","Habilitado"
"Start Time","Horário de início"
"List of countries","Lista de países"
"List of regions in specified country","Lista de regiões em um país específico"
"Error Email Template","Modelo de e-mail de erro"
"Currency","Moeda"
"Invalid target currency","Moeda de destino inválida"
"Default display currency","Moeda de visualização padrão"
"Currency will be used for all online payment transactions","Moeda em vigor será usada para todos os pagamentos online"
"Base currency","Moeda padrão"
"Installed Currencies","Moedas instaladas"
"Allowed currencies","Moedas permitidas"
"Unable to initialize import model","Não foi possível inicializar modelo de importação"
"Cannot retrieve rate from %s","Não foi possível obter taxa de %s"
"Currency Options","Opções de moeda"
"Country","País"
"Region","Região"
"Error Email Sender","Remetente de e-mail de erro"
"Remove space from currency sign","Remover espaço do símbolo da moeda"
"Select Your Currency","Selecione sua moeda"
"Service","Serviço"
"Invalid Import Service Specified","Serviço inválido de importação especificado"
"Your current currency is: %s","Sua moeda atual é: %s"
"Undefined rate from ""%s-%s""","Taxa não definida de ""%s-%s"""
"Invalid rates received","Taxas inválidas recebidas"
"Connection timeout in seconds","Timeout da conexão em segundos"
"Webservicex","Webservicex"
